pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge	-log10FDR
GOBP_MITOTIC_NUCLEAR_MEMBRANE_ORGANIZATION	0.615205585725369	1	-0.429888021997301	-0.892039230250216	3171	8	SPAST;VPS4A;REEP4;ANKLE2	0
REACTOME_SPHINGOLIPID_METABOLISM	0.695392953929539	1	-0.254182334509177	-0.894664417505119	3848	91	CERS3;ST8SIA5;ALDH3B2;SPHK1;FA2H;ARSH;MFSD2B;ARSA;SGPP2;GAL3ST1	0
GOBP_SPHINGOLIPID_BIOSYNTHETIC_PROCESS	0.687737041719343	1	-0.253529474098303	-0.897556472469076	3807	95	CERS3;ST8SIA5;ELOVL2;CYP4F22;SPHK1;FA2H;FUT9;MFSD2B;PNPLA1;GAL3ST1;ALOXE3;P2RX7;MECR	0
GOBP_INTERMEMBRANE_LIPID_TRANSFER	0.611870436247894	1	-0.314644370348596	-0.905318787166732	3267	30	CIDEC;PITPNM2;CIDEA	0
GOBP_VERY_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS	0.579809523809524	1	-0.335013718015563	-0.916367746042745	3043	24	TECRL;ELOVL2	0
GOBP_MITOCHONDRIAL_DNA_REPAIR	0.582943925233645	1	-0.47705480846674	-0.916440426725285	2993	6	LIG3;NEURL4	0
GOBP_MITOTIC_CYTOKINETIC_PROCESS	0.593147350683393	1	-0.31806092751601	-0.920737115343732	3167	31	CEP55;IQGAP3	0
GOBP_POSITIVE_REGULATION_OF_MITOCHONDRIAL_OUTER_MEMBRANE_PERMEABILIZATION_INVOLVED_IN_APOPTOTIC_SIGNALING_PATHWAY	0.565623177133968	1	-0.431664585492488	-0.924768119170429	2908	9	ZNF205;BAK1;HIP1R;CHCHD10;ATP5IF1	0
GOBP_GLYCOLIPID_BIOSYNTHETIC_PROCESS	0.604299508107123	1	-0.277370253214092	-0.925094354179058	3316	65	CWH43;ST8SIA5;GAL3ST2;FA2H;FUT9	0
GOBP_INSULIN_SECRETION_INVOLVED_IN_CELLULAR_RESPONSE_TO_GLUCOSE_STIMULUS	0.585981478118758	1	-0.286144839847605	-0.932924669684742	3226	56	CFTR;ABCA12;PTPRN;ADCY8;GPR68;GHRL;SLC9B2;RFX6;VSNL1;FKBP1B;TRPM5;SYBU;ABCC8	0
GOBP_GLYCEROLIPID_CATABOLIC_PROCESS	0.584107891379625	1	-0.287463540863083	-0.933721291694262	3204	55	PNLIP;ENPP6;PNPLA3;LIPG;PLA2G5;SCARB1;PLA2G7;PNPLA1;GDPD3;GDPD1;MGLL;PLA2G4B	0
GOBP_INNER_MITOCHONDRIAL_MEMBRANE_ORGANIZATION	0.554977711738484	1	-0.313821946216551	-0.939324680296372	2987	36	ADCK1;MTX3;TIMM22;ROMO1;PINK1;SLC25A46;TMEM11;APOOL;BCS1L;TIMM8A;TIMM29;AFG3L2;SAMM50;MAIP1;TRMT10B;TAFAZZIN;DNAJC11;CHCHD10;MTX2;APOO;IMMT	0
GOBP_AXIS_ELONGATION_INVOLVED_IN_SOMITOGENESIS	0.564092512740102	1	-0.513909048156405	-0.94004676614645	2877	5	WNT3A	0
GOBP_CARNITINE_TRANSPORT	0.557827102803738	1	-0.489885741290103	-0.941089136565814	2864	6	SLC22A16;SLC16A9;SLC25A20	0
GOBP_POSITIVE_REGULATION_OF_LIPOPROTEIN_PARTICLE_CLEARANCE	0.54964953271028	1	-0.493423018810146	-0.947884381184211	2822	6	LIPG	0
GOBP_MITOCHONDRION_LOCALIZATION	0.536639526276832	1	-0.306662574317922	-0.953708122763411	2899	44	ATCAY;BRAT1;SYBU;MFN2;PRKN;SPAST;RHOT2;ZBED3;HDAC6;MEF2A;KAT2A;MYO19;MFN1;AGTPBP1;CLUH;HIF1A;SLC4A5;ARMC1;FEZ1;MAPT;ACTR10;MUL1;KIF1B	0
GOBP_PROTEIN_TARGETING_TO_PEROXISOME	0.522652148551429	1	-0.445815785985317	-0.955084664709662	2687	9	PEX16;PEX1;PEX5;PEX6	0
GOBP_REGULATION_OF_MITOCHONDRIAL_RNA_CATABOLIC_PROCESS	0.540180321442572	1	-0.524266059072859	-0.958991897885001	2755	5	SUPV3L1;PNPT1;GRSF1	0
GOBP_REGULATION_OF_PEROXISOME_PROLIFERATOR_ACTIVATED_RECEPTOR_SIGNALING_PATHWAY	0.504221028396009	1	-0.403889751962098	-0.967448700098992	2627	14	LEP	0
GOBP_GLUCOCORTICOID_SECRETION	0.502881290818287	1	-0.42098476564925	-0.968814515678189	2617	12	TAC1;GHRL;POMC	0
GOBP_MEMBRANE_LIPID_BIOSYNTHETIC_PROCESS	0.52339595887983	1	-0.262513538738594	-0.971146369770328	2952	128	CERS3;CWH43;ST8SIA5;GAL3ST2;ELOVL2;CYP4F22;SPHK1;FA2H;FUT9;MFSD2B;PNPLA1;GAL3ST1;MPPE1;ALOXE3;P2RX7;MECR	0
GOBP_LOW_DENSITY_LIPOPROTEIN_RECEPTOR_PARTICLE_METABOLIC_PROCESS	0.526264210113681	1	-0.532240913778685	-0.973579569387561	2684	5	PCSK9	0
REACTOME_TRANSCRIPTIONAL_REGULATION_OF_BROWN_AND_BEIGE_ADIPOCYTE_DIFFERENTIATION	0.497463836182604	1	-0.341341016116772	-0.973896998003389	2647	29	UCP1;PPARGC1A;CIDEA;ZNF423;PPARA;COX7A1;PRDM16;SMAD1	0
REACTOME_ACETYLCHOLINE_REGULATES_INSULIN_SECRETION	0.515381619937695	1	-0.50886840462477	-0.97755555463362	2646	6	GNA14	0
GOBP_LIPID_IMPORT_INTO_CELL	0.486249045072574	1	-0.37780293867229	-0.979837540296971	2545	19	PLPPR4;STRA6	0
GOBP_BILE_ACID_AND_BILE_SALT_TRANSPORT	0.485823754789272	1	-0.366298486243577	-0.980964060665791	2535	22	ABCC11;SLCO1A2;ABCB11;SLC10A4;ABCC3;SLCO2B1;SLCO1C1	0
GOBP_NEGATIVE_REGULATION_OF_D_GLUCOSE_IMPORT	0.476494486360998	1	-0.441591356632412	-0.994409227351003	2462	11	LEP;OSTN;SIRT6;PEA15	0
GOBP_MITOCHONDRION_DISTRIBUTION	0.46693657219973	1	-0.408906024896224	-0.996412055679563	2421	15	ATCAY;MEF2A;KAT2A;MYO19;CLUH;SLC4A5;ARMC1;MAPT	0
GOBP_MITOTIC_INTRA_S_DNA_DAMAGE_CHECKPOINT_SIGNALING	0.467856457493763	1	-0.424542910536295	-0.996708394629935	2437	13	RAD9A;EME2;HUS1;RAD9B;MUS81;MSH2;MRE11	0
REACTOME_ACTIVATION_OF_PUMA_AND_TRANSLOCATION_TO_MITOCHONDRIA	0.478985086190199	1	-0.498952637131852	-1.00100236821285	2472	7	TP73	0
GOBP_PROTEIN_IMPORT_INTO_PEROXISOME_MATRIX	0.461538461538462	1	-0.411018054611122	-1.00155859728509	2393	15	PEX5L;PEX16;PEX1;TRIM37;PEX5;PEX6	0
REACTOME_NR1H2_NR1H3_REGULATE_GENE_EXPRESSION_LINKED_TO_TRIGLYCERIDE_LIPOLYSIS_IN_ADIPOSE	0.487063896511172	1	-0.552520308461966	-1.01067480921612	2484	5	PLIN1	0
GOBP_REGULATION_OF_MITOCHONDRIAL_ELECTRON_TRANSPORT_NADH_TO_UBIQUINONE	0.45531164249314	1	-0.567997044175856	-1.03898498474336	2322	5	DNAJC15;ISCU;PINK1	0
