pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge	-log10FDR
GOBP_POSITIVE_REGULATION_OF_MITOTIC_CELL_CYCLE_PHASE_TRANSITION	0.0169491525423729	0.190834902699309	0.286929684219515	1.42466242390892	0	80	AIF1;RCC2;CCND3;RRM2B;STIL;ADAM17;CDC25B;TGFB1;CDC23;RAB11A;DBF4B;LSM10;RRM2;UBE2C;CDK4;MEPCE;CUL4B;CDK1;VPS4B;CDC25C;LSM11;MAD1L1;TMOD3	0.719342192192378
GOBP_CELLULAR_RESPONSE_TO_LIPOPROTEIN_PARTICLE_STIMULUS	0.018058690744921	0.196065785230571	0.368054667862191	1.55873411696511	7	36	FCER1G;CD9;SYK;ITGB2;MYD88;ADAM17;TGFB1;TREM2;TLR6;CDH13	0.707598186964592
REACTOME_MTOR_SIGNALLING	0.018058690744921	0.196065785230571	0.366994870321318	1.55424580930791	7	36	PPM1A;TSC1;LAMTOR4;YWHAB;PRKAB1;EIF4EBP1;RRAGA;LAMTOR3;EEF2K;PRKAB2;RRAGC;RRAGD;AKT2;PRKAA2;LAMTOR1;LAMTOR5	0.707598186964592
GOBP_APOPTOTIC_MITOCHONDRIAL_CHANGES	0.0196078431372549	0.198211624441133	0.385993157193563	1.94283990325604	0	82	PYCARD;PLAUR;CCAR2;TP53;BCL2A1;FXN;BNIP3L;MUL1;BAD;PARL;GNB1L;MOAP1;GCLM;EYA2;VDAC2;LMNA;ATG3;SLC35F6;PPM1K;PIM2;AIFM2;BAK1;SIVA1;SLC25A43;LRRK2;GGCT;IFI6;PPIF;BCL2L1;IFIT2;BOK;ATP5IF1;MCL1;FAM162A;OPA1;GHITM;SMAD3	0.702870879201906
GOBP_PROTEIN_INSERTION_INTO_MITOCHONDRIAL_OUTER_MEMBRANE	0.018842530282638	0.198211624441133	0.721186116464156	1.81836133151451	41	7	TOMM22;SAMM50;TOMM70;TOMM20	0.702870879201906
GOBP_MITOTIC_G1_S_TRANSITION_CHECKPOINT_SIGNALING	0.0197418375094913	0.198211624441133	0.52712629084657	1.70019351872311	25	14	PLK3;CDKN1A;SDE2;CDK2;TP53	0.702870879201906
GOBP_ESTABLISHMENT_OF_MITOCHONDRION_LOCALIZATION	0.0198863636363636	0.198211624441133	0.394735837854594	1.55798725644513	13	27	KIFBP;TRAK1;TRAK2;NECTIN2;SPAST;MAP1B;UXT;MARK1;OPA1;FEZ1;HSBP1;HIF1A;WASF1;SYBU;LRPPRC;KIF5B	0.702870879201906
GOBP_REGULATION_OF_INSULIN_RECEPTOR_SIGNALING_PATHWAY	0.0196078431372549	0.198211624441133	0.301059846685106	1.39178448736755	3	55	IL1B;PTPRE;RELA;TRIM72;ZNF592;INPP5K;PRKCD;PTPN1;ZBTB7B;RPS6KB2;PRKCB;FBXW8;OSBPL8;NCOA5;PIP4K2C;TRIB3;ADIPOR1;OGT	0.702870879201906
GOBP_MITOCHONDRIAL_MEMBRANE_ORGANIZATION	0.0212765957446809	0.208647906657515	0.421040321312992	2.15489755793858	0	86	TMEM11;TP53;DNAJC11;BNIP3L;BCS1L;MUL1;TIMM8A;TIMM22;BAD;TOMM22;SAMM50;PEX5;CHCHD6;GNB1L;MOAP1;EYA2;VDAC2;SLC35F6;TIMM29;PPM1K;BAK1;SIVA1;OXA1L;SLC25A43;LRRK2;HSPA9;CALM3;PPIF;BCL2L1;BOK;ATP5IF1;OPA1;GHITM;TOMM70;MICU1;NOL3;THEM4;STAT3;TOMM20	0.680585968161236
GOBP_PROTEIN_TARGETING_TO_MITOCHONDRION	0.0217391304347826	0.209799861973775	0.330248738084283	1.65357343701972	0	84	USP36;HTRA2;ADCY10;BNIP3L;TIMM8A;TIMM22;TOMM22;SAMM50;SH3GLB1;PARL;TOMM34;DNAJC19;PMPCB;GFER;MTERF4;PMPCA;MIPEP;TIMM29;AIP;HAX1;DNLZ;LRRK2;SAE1;TIMM17A	0.678194801862421
