pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge	-log10FDR
GOBP_CHONDROITIN_SULFATE_PROTEOGLYCAN_METABOLIC_PROCESS	0.0108015918135304	0.107265840220386	0.536527209076458	1.74227126534601	18	21	IGF1;B3GAT2;DSE;CHST3;CHSY1;CHST11	0.969538561032868
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS	0.0113636363636364	0.107265840220386	0.32135837314298	1.56213544683748	0	172	IL1B;AHSG;PRKCB;IGF1;UCP2;HMGCS2;FUT7;IGFBP1;HDAC9;PKLR;PTPN1;PCK1;GHR;PDE3B;PRKCQ;SLC25A44;CEACAM1;NDEL1;SREBF1;KBTBD2;FOXO1;RAB31;SOCS7;PIP4K2A;GRB2;TRIB3;INSIG1;INPP5K;STAT1;RPS6KB1;SESN3;PTPRJ;KAT2B;LPIN2;PTPN2;OSBPL8;SYAP1;MAPK1;NAMPT;CFLAR;SIRT1;LPIN1;USF1	0.969538561032868
GOBP_UNSATURATED_FATTY_ACID_METABOLIC_PROCESS	0.0108499095840868	0.107265840220386	0.341953512054615	1.47674842143035	5	74	IL1B;CD74;PTGS2;PTGES;TBXAS1;CYP1B1;ALOXE3;HPGDS;HPGD;CYP2E1	0.969538561032868
GOBP_PROTEIN_LIPID_COMPLEX_ORGANIZATION	0.0112016293279022	0.107265840220386	0.369895308748979	1.46021056623105	10	46	APOC2;APOA2;PON1;APOA5;ANGPTL3;LPL;APOC1;PLA2G7;SOAT2;ABCG1;MPO;DGAT1;PLTP;PLA2G2A	0.969538561032868
GOBP_POSITIVE_REGULATION_OF_MITOTIC_CELL_CYCLE_PHASE_TRANSITION	0.011605415860735	0.107913045988626	0.341013290016971	1.47827009792441	5	80	AIF1;TGFB1;RGCC;DTL;CDC25B;CDC25C;CCND3;SKA1;PLCB1;CCND2;DLGAP5;ANXA1	0.966926048751956
GOBP_REGULATION_OF_UNSATURATED_FATTY_ACID_BIOSYNTHETIC_PROCESS	0.0122292103424179	0.110169138910271	0.774507075445527	1.79994431732057	34	7	IL1B;CD74;PTGS2	0.957940045030757
GOBP_CELLULAR_RESPONSE_TO_FATTY_ACID	0.0125553914327917	0.110169138910271	0.452264995181704	1.63188032373678	16	32	CPS1;CD4;HMGCS2;LDLR;FFAR2;LPL;PLCB1;SREBF1;KCNK10;ASS1;E2F1;ID3;ZNF683;PDK3;ZC3H12A;DGAT2;PRKCD	0.957940045030757
GOBP_REGULATION_OF_TRIGLYCERIDE_METABOLIC_PROCESS	0.0120288692862871	0.110169138910271	0.430052692397825	1.58129844897873	14	35	APOC2;PIK3CG;APOA5;LDLR;APOC1;SIK1;SREBF1;CNEP1R1;FBXW7;TBL1XR1;MBOAT7;NR1H3;SIRT1	0.957940045030757
REACTOME_GLUCOSE_METABOLISM	0.0125	0.110169138910271	0.346315621028757	1.43781102053752	8	62	ENO2;HK1;HK2;PKLR;PCK1;PFKFB1;GCKR;G6PC3;HK3;ALDOB;FBP2;GAPDHS;NUP98;NUP153;PPP2R5D;PFKFB3;GNPDA1;NUP93;SLC37A2;PGM2L1;GCK	0.957940045030757
REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_27_HYDROXYCHOLESTEROL	0.0131526504583499	0.11073109777773	0.696180978850725	1.82317760487587	32	10	AKR1D1;CYP8B1;CYP7A1	0.95573039450853
REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA	0.0129813933362181	0.11073109777773	0.652400081818785	1.80658628926487	29	12	BCL2;AKT3;YWHAZ;BID;YWHAG;PPP3CC	0.95573039450853
GOBP_POSITIVE_REGULATION_OF_UNSATURATED_FATTY_ACID_BIOSYNTHETIC_PROCESS	0.0129611166500499	0.11073109777773	0.802095500801942	1.76605124502137	38	6	IL1B;CD74;PTGS2	0.95573039450853
